

"Board Report"
"Save Time: 02/21/2014 16:25:35"
"User Name:tgdscm41"
""

"Total 1,525 Records"

"Board Name","Board Type","Board Bar Code","Board BOM Item","NE","NE Type","Subrack ID","Slot ID","Hardware Version","Software Version","Subrack Type","BIOS Version","Manufacture Date","FPGA Version","Serial Number","Alias","Remarks","Customized Column","NE ID","Board Status"
APIU,TN21APIU (ONC300-48A),A49310100800052/V1.4A,02130675,NIU99MUS1.38.1.US1.2,OptiX OSN 3800,--,7,Get PcbVer failed!,1.11,OptiX OSN 3800 Standard Subrack,/,2010-11-23,/,--,--,-,-,9-9011,Normal
APIU,TN21APIU (ONC300-48A),A49310100800029/V1.4A,02130675,GRE99ETA1.38.1.US1.3,OptiX OSN 3800,--,6,Get PcbVer failed!,1.11,OptiX OSN 3800 Standard Subrack,/,2010-11-23,/,--,--,-,-,97-9012,Normal
APIU,TN21APIU (ONC300-48A),A49310100800020/V1.4A,02130675,NIU99MUS1.38.1.US1.2,OptiX OSN 3800,--,6,Get PcbVer failed!,1.11,OptiX OSN 3800 Standard Subrack,/,2010-11-23,/,--,--,-,-,9-9011,Normal
APIU,TN21APIU (ONC300-48A),A49308100700168/V1.4A,02130675,GRE99ETA1.38.1.US1.3,OptiX OSN 3800,--,7,Get PcbVer failed!,1.11,OptiX OSN 3800 Standard Subrack,/,2010-11-23,/,--,--,-,-,97-9012,Normal
APIU,TN21APIU (ONC300-48A),A49305080700063/V1.4A,02130675,GRE99ETA1.38.1.US1.2,OptiX OSN 3800,--,7,Get PcbVer failed!,1.11,OptiX OSN 3800 Standard Subrack,/,2008-08-15,/,--,--,-,-,97-9013,Normal
APIU,TN21APIU (ONC300-48A),A49304080600008/V1.4A,02130675,GRE99ETA1.38.1.US1.2,OptiX OSN 3800,--,6,Get PcbVer failed!,1.11,OptiX OSN 3800 Standard Subrack,/,2008-07-09,/,--,--,-,-,97-9013,Normal
MR2,TNF1MR2 (TNF1MR2M02),210307117410C5000442,03071174,FUS99COP1.18.2.STR1.1,OptiX OSN 1800,0,7,VER.A,1.10,OptiX OSN 1800 2U Subrack,/,2012-05-25,/,--,--,-,-,97-6319,Normal
MR2,TN21MR2 (TN21MR201M01),210307076710AA000002,03070767,GRE99ETA1.38.1.US1.3,OptiX OSN 3800,--,1,VER.A,1.11,OptiX OSN 3800 Standard Subrack,/,2010-10-12,/,--,--,-,-,97-9012,Normal
MR2,TN21MR2 (TN21MR201M01),210307076710A8000008,03070767,GRE99ETA1.38.1.US1.2,OptiX OSN 3800,--,1,VER.A,1.11,OptiX OSN 3800 Standard Subrack,/,2010-08-31,/,--,--,-,-,97-9013,Normal
MR2,TN21MR2 (TN21MR201M01),210307076710A8000007,03070767,NIU99MUS1.38.1.US1.2,OptiX OSN 3800,--,1,VER.A,1.11,OptiX OSN 3800 Standard Subrack,/,2010-08-31,/,--,--,194.10/194.20,-,9-9011,Normal
MR2,TN21MR2 (TN21MR201M01),2103070767108A000004,03070767,NIU99MUS1.38.1.US1.1,OptiX OSN 3800,--,1,VER.A,1.11,OptiX OSN 3800 Standard Subrack,/,2008-10-23,/,--,--,192.10/192.20,-,97-8010,Normal
