Board BOM Item;Board Type;Subrack Type;Software Version;FPGA Version
03030AVP;SSN1SLQ1600;3500;9.31;(U26)230(U12)100
3038921;SSN1SLH101;3500;9.31;(U46)110
03020HCQ;SSN1SLQ1A10;3500;9.31;(U21)110
03030KTM;SSQ5CXLLN;1500;5.36.20.52/5.36.20.52;(U64)220 (U45)110
303848001;SSR2AUX01;1500;1;(U7)100
03030AVP;SSN1SLQ1600;7500;9.31;(U26)230(U12)100
3028246;SST1AUX;7500;3.13;(U68)400
3028245;SST1EOW;7500;3.13;(U68)400
03030DYT;SST2UXCSA01;7500;9.72;(U11)410
03030DKB;SST1IXCSA01;7500;9.72;(U11)410
3038921;SSN1SLH101;7500;9.31;(U46)110
03020HCQ;SSN1SLQ1A10;7500;9.31;(U21)110
3037098;SSN1AUX01;3500;3.13;(U68)400
3037391;SSN1SEP101;1500;9.31;(U2)420
3038334;SSR1SLQ101;1500;9.31;(U12)110
3039079;SSR1PL1B01;1500;5.55;(U14)100
03030FHQ;SSN2PL3A01;1500;2.5;(U21)110(U12)100
03030GFY;SSN3SL16A00;3500;9.31;(U21)200
3037391;SSN1SEP101;3500;9.31;(U2)420
03030CEP;SSN3GSCC01;3500;5.21.20.52/5.21.20.52;(U1004)400
03030DKF;SSN1SXCSA01;3500;9.72;(U11)210
03030LHG;SSN1SL4A02;1500;9.31;(U21)120
03030CEP;SSN3GSCC01;7500;5.21.20.52/5.21.20.52;(U1004)400
03020LXS;SSN1SLQ1624;7500;9.31;(U33)110
03020RFR;SSN4SLQ16;7500;8.2;(U5)210
3038343;SSN1XCE01;3500;8.51;(U16)120
03020SET;SSN1SLH103;3500;9.31;(U1035)110
03020LXS;SSN1SLQ1624;3500;9.31;(U33)110
03030DKH;SSN1SXCSB01;3500;9.72;(U11)210
03020RFR;SSN4SLQ16;3500;8.2;(U5)210
03030LHG;SSN1SL4A02;3500;9.31;(U21)120
03030LHH;SSN1SLQ1A02;3500;9.31;(U21)120
03020SET;SSN1SLH103;7500;9.31;(U1035)110
03030KBM;SSN1SXCSA02;3500;9.72;(U342)120
03030KBQ;SSN1SXCSB02;3500;9.72;(U342)120
03020EHW;SSN1SLH102;3500;9.31;(U126)120
3029149;SSN1SLQ1A04;3500;9.31;(U8)100
03020DCM;SSN3GSCC02;3500;5.21.20.52/5.21.20.52;(U1004)130
03030JSA;SSN3SL16A05;3500;9.31;(U21)120
03030JSA;SSN3SL16A05;1500;9.31;(U21)120
03020UGV;SSN2EFT8A;1500;1.16;(U9)120
